,Characters,Words,AvgWordLen,UniqueWords,Sentences,AvgWordsSentence,Syllables,AvgSyllableWords,RareWordsRatio,LexicalDiversity,label
12095,997,198,4.186868686868687,43,44,4.5,225,1.1363636363636365,0.0,0.2171717171717172,Punk Rock
10379,1634,351,3.6524216524216526,145,59,5.9491525423728815,368,1.0484330484330484,0.2279202279202279,0.4131054131054131,Heavy Metal
9986,643,135,3.8296296296296295,79,17,7.9411764705882355,157,1.1629629629629628,0.3925925925925926,0.5851851851851851,Soft Rock
10340,592,133,3.5939849624060156,62,22,6.045454545454546,145,1.0902255639097744,0.19548872180451127,0.4661654135338346,Heavy Metal
5297,1255,276,3.710144927536232,99,45,6.133333333333334,298,1.079710144927536,0.15217391304347827,0.35869565217391297,Punk Rock
10333,1342,288,3.625,98,47,6.127659574468084,309,1.0729166666666667,0.15625,0.3402777777777778,Heavy Metal
269,1259,272,3.8272058823529416,92,55,4.945454545454545,312,1.1470588235294117,0.15073529411764705,0.3382352941176471,Soft Rock
3290,555,122,3.84873949579832,66,20,6.1,142,1.1639344262295082,0.4016393442622951,0.5409836065573771,Punk Rock
6506,997,190,4.410526315789474,128,49,3.877551020408163,246,1.2947368421052632,0.5105263157894737,0.6736842105263158,Heavy Metal
9081,1092,225,3.9466666666666663,81,23,9.782608695652174,255,1.1333333333333333,0.06222222222222223,0.36,Soft Rock
1579,786,166,3.8614457831325297,84,29,5.724137931034483,187,1.1265060240963856,0.3253012048192771,0.5060240963855421,Punk Rock
7081,1475,294,4.132653061224491,143,36,8.166666666666666,349,1.1870748299319729,0.3129251700680272,0.4863945578231293,Punk Rock
2382,952,200,3.99,40,46,4.3478260869565215,226,1.13,0.0,0.2,Heavy Metal
6906,585,114,4.105263157894736,56,16,7.125,151,1.3245614035087718,0.3157894736842105,0.4912280701754386,Soft Rock
10142,863,212,3.1745283018867925,97,28,7.571428571428571,222,1.0471698113207548,0.29245283018867924,0.4575471698113208,Soft Rock
9699,1553,344,3.6569767441860463,131,50,6.88,380,1.1046511627906976,0.25,0.3808139534883721,Heavy Metal
10122,674,150,3.633333333333333,84,22,6.8181818181818175,156,1.04,0.3933333333333333,0.56,Soft Rock
12936,1384,280,4.110714285714286,129,47,5.957446808510637,329,1.175,0.26785714285714285,0.4607142857142857,Heavy Metal
6936,1510,313,3.9648562300319488,128,44,7.113636363636362,345,1.1022364217252396,0.23003194888178916,0.4089456869009585,Soft Rock
7695,1444,304,3.871710526315789,144,41,7.414634146341463,353,1.1611842105263157,0.26644736842105265,0.4736842105263158,Heavy Metal
12593,1682,326,4.322085889570552,196,63,5.174603174603175,391,1.1993865030674846,0.4662576687116564,0.6012269938650306,Heavy Metal
8837,633,122,4.385245901639344,57,25,4.88,149,1.221311475409836,0.16393442622950818,0.4672131147540984,Heavy Metal
5201,1032,233,3.6008583690987126,91,49,4.755102040816326,266,1.1416309012875536,0.1931330472103004,0.3905579399141631,Punk Rock
11056,685,154,3.5779220779220777,58,25,6.16,161,1.0454545454545454,0.16233766233766234,0.37662337662337664,Heavy Metal
8711,1404,304,3.75,147,50,6.08,332,1.0921052631578947,0.2993421052631579,0.4835526315789474,Punk Rock
6722,1188,208,4.9519230769230775,91,54,3.851851851851852,274,1.3173076923076923,0.2644230769230769,0.4375,Heavy Metal
7122,1540,352,3.5795454545454546,87,73,4.821917808219178,368,1.0454545454545454,0.09943181818181818,0.2471590909090909,Punk Rock
4761,957,182,4.335164835164835,111,16,11.375,213,1.1703296703296704,0.4340659340659341,0.6098901098901099,Soft Rock
12649,2610,489,4.486707566462168,302,78,6.269230769230768,616,1.2597137014314927,0.5276073619631901,0.6175869120654397,Heavy Metal
8842,608,120,4.325,76,33,3.636363636363636,161,1.3416666666666666,0.5,0.6333333333333333,Heavy Metal
1316,765,167,3.730538922155689,93,36,4.638888888888889,179,1.0718562874251496,0.3413173652694611,0.5568862275449101,Heavy Metal
12841,655,146,3.5753424657534247,86,16,9.125,158,1.082191780821918,0.363013698630137,0.589041095890411,Heavy Metal
10025,895,195,3.717948717948718,109,29,6.724137931034483,228,1.1692307692307693,0.4205128205128205,0.558974358974359,Soft Rock
853,850,170,4.129411764705884,60,22,7.727272727272727,198,1.1647058823529413,0.1588235294117647,0.35294117647058826,Punk Rock
393,718,156,3.685897435897436,72,17,9.176470588235292,178,1.1410256410256407,0.2564102564102564,0.4615384615384616,Soft Rock
11861,1383,302,3.735099337748344,93,53,5.69811320754717,322,1.0662251655629138,0.0695364238410596,0.3079470198675497,Heavy Metal
7504,770,165,3.7151515151515153,69,19,8.684210526315791,182,1.103030303030303,0.2,0.41818181818181815,Soft Rock
12742,965,209,3.770334928229665,113,32,6.53125,229,1.0956937799043065,0.3875598086124402,0.5406698564593302,Heavy Metal
9248,887,197,3.5939086294416245,73,26,7.5769230769230775,217,1.101522842639594,0.12690355329949238,0.37055837563451777,Punk Rock
9786,528,114,3.728070175438596,58,17,6.705882352941178,137,1.2017543859649122,0.3684210526315789,0.5087719298245614,Heavy Metal
4544,754,157,4.0254777070063685,23,37,4.243243243243243,200,1.2738853503184713,0.006369426751592357,0.1464968152866242,Heavy Metal
9798,1281,256,3.984375,122,37,6.918918918918918,281,1.09765625,0.265625,0.4765625,Heavy Metal
516,918,188,4.037234042553192,125,31,6.064516129032258,218,1.1595744680851063,0.5,0.6648936170212766,Soft Rock
9097,1407,291,3.9587628865979374,125,37,7.864864864864866,350,1.2027491408934707,0.2714776632302405,0.42955326460481097,Punk Rock
12569,1853,348,4.502873563218391,240,63,5.523809523809524,429,1.2327586206896552,0.5919540229885057,0.6896551724137931,Heavy Metal
4271,1199,256,3.765625,129,25,10.24,280,1.09375,0.3515625,0.50390625,Heavy Metal
1520,542,115,3.965217391304348,66,30,3.8333333333333335,138,1.2,0.4,0.5739130434782609,Punk Rock
4840,571,134,3.455223880597015,52,28,4.785714285714286,141,1.0522388059701493,0.19402985074626866,0.3880597014925373,Heavy Metal
12197,536,109,4.0275229357798175,47,12,9.083333333333334,120,1.1009174311926606,0.26605504587155965,0.4311926605504587,Punk Rock
7034,1215,234,4.316239316239317,121,31,7.548387096774193,281,1.2008547008547008,0.3247863247863248,0.5170940170940171,Punk Rock
2628,678,149,3.6778523489932886,55,30,4.966666666666667,170,1.140939597315436,0.2080536912751678,0.3691275167785235,Heavy Metal
1373,514,110,3.845454545454545,70,19,5.789473684210527,126,1.1454545454545455,0.4727272727272727,0.6363636363636364,Punk Rock
3294,677,140,4.0285714285714285,69,29,4.827586206896552,147,1.05,0.2642857142857143,0.4928571428571429,Punk Rock
1202,1496,342,3.5263157894736836,47,52,6.5769230769230775,352,1.0292397660818713,0.05847953216374269,0.13742690058479531,Heavy Metal
1374,922,198,3.83248730964467,113,33,6.0,217,1.0959595959595958,0.3939393939393939,0.5707070707070707,Punk Rock
5426,1085,191,4.869791666666667,114,44,4.340909090909091,262,1.3717277486910997,0.4293193717277487,0.5968586387434555,Heavy Metal
1016,1498,325,3.784615384615385,82,58,5.603448275862068,371,1.1415384615384616,0.05230769230769231,0.2523076923076923,Punk Rock
4682,695,149,3.812080536912752,71,22,6.7727272727272725,155,1.0402684563758389,0.3087248322147651,0.4765100671140939,Soft Rock
2892,830,165,4.151515151515151,102,30,5.5,205,1.2424242424242424,0.496969696969697,0.6181818181818182,Heavy Metal
11816,766,159,4.0,71,32,4.96875,170,1.0691823899371071,0.2641509433962264,0.4465408805031447,Punk Rock
626,1015,197,4.025380710659898,107,38,5.184210526315789,248,1.2588832487309645,0.3096446700507614,0.5431472081218274,Soft Rock
12940,1025,195,4.4,83,28,6.9642857142857135,250,1.2820512820512822,0.2512820512820513,0.4256410256410256,Heavy Metal
1752,742,185,3.1783783783783783,78,35,5.285714285714286,210,1.135135135135135,0.3027027027027027,0.4216216216216217,Punk Rock
10678,949,199,3.904522613065327,95,27,7.37037037037037,220,1.105527638190955,0.31155778894472363,0.4773869346733669,Soft Rock
6209,554,110,4.218181818181818,68,20,5.5,133,1.2090909090909092,0.4090909090909091,0.6181818181818182,Heavy Metal
7159,1787,358,4.181564245810057,139,68,5.264705882352942,416,1.1620111731843576,0.21787709497206706,0.38826815642458096,Heavy Metal
6296,1351,293,3.802047781569966,107,59,4.966101694915254,315,1.0750853242320821,0.16382252559726962,0.3651877133105802,Punk Rock
8183,700,140,4.092857142857143,96,18,7.777777777777778,163,1.1642857142857144,0.5071428571428571,0.6857142857142857,Punk Rock
